champion_key,champion_id,champion_name,runeterra_region,region_notes
266,Aatrox,Aatrox,Shurima,Darkin; ancient Shuriman Ascended
103,Ahri,Ahri,Ionia,
84,Akali,Akali,Ionia,
166,Akshan,Akshan,Shurima,
12,Alistar,Alistar,Noxus,Often treated as Noxus-affiliated in lore datasets
32,Amumu,Amumu,Shurima,
34,Anivia,Anivia,Freljord,
1,Annie,Annie,Noxus,
523,Aphelios,Aphelios,Targon,
22,Ashe,Ashe,Freljord,
136,AurelionSol,Aurelion Sol,Targon,Celestial tied to Targon
893,Aurora,Aurora,Freljord,
268,Azir,Azir,Shurima,
432,Bard,Bard,Runeterra,Cosmic wanderer / unaffiliated
200,Belveth,Bel'Veth,The Void,
53,Blitzcrank,Blitzcrank,Zaun,
63,Brand,Brand,Freljord,Keegan Rodhe; often grouped under Freljord
201,Braum,Braum,Freljord,
233,Briar,Briar,Noxus,
51,Caitlyn,Caitlyn,Piltover,
164,Camille,Camille,Piltover,Clan Ferros
69,Cassiopeia,Cassiopeia,Noxus,
31,Chogath,Cho'Gath,The Void,
42,Corki,Corki,Bandle City,
122,Darius,Darius,Noxus,
131,Diana,Diana,Targon,
36,DrMundo,Dr. Mundo,Zaun,
119,Draven,Draven,Noxus,
245,Ekko,Ekko,Zaun,
60,Elise,Elise,Noxus,Black Rose / Shadow Isles ties
28,Evelynn,Evelynn,Runeterra,Demon / unaffiliated
81,Ezreal,Ezreal,Piltover,
9,Fiddlesticks,Fiddlesticks,Runeterra,Primal demon / unaffiliated
114,Fiora,Fiora,Demacia,
105,Fizz,Fizz,Bilgewater,
3,Galio,Galio,Demacia,
41,Gangplank,Gangplank,Bilgewater,
86,Garen,Garen,Demacia,
150,Gnar,Gnar,Freljord,
79,Gragas,Gragas,Freljord,
104,Graves,Graves,Bilgewater,
887,Gwen,Gwen,Shadow Isles,Camavoran origin but Shadow Isles-associated
120,Hecarim,Hecarim,Shadow Isles,
74,Heimerdinger,Heimerdinger,Piltover,Bandle yordle resident of Piltover
910,Hwei,Hwei,Ionia,
420,Illaoi,Illaoi,Bilgewater,
39,Irelia,Irelia,Ionia,
427,Ivern,Ivern,Ionia,
40,Janna,Janna,Zaun,
59,JarvanIV,Jarvan IV,Demacia,
24,Jax,Jax,Runeterra,Icathian / often listed as unaffiliated
126,Jayce,Jayce,Piltover,
202,Jhin,Jhin,Ionia,
222,Jinx,Jinx,Zaun,
897,KSante,K'Sante,Shurima,
145,Kaisa,Kai'Sa,Shurima,
429,Kalista,Kalista,Shadow Isles,Camavoran origin but Shadow Isles-associated
43,Karma,Karma,Ionia,
30,Karthus,Karthus,Shadow Isles,
38,Kassadin,Kassadin,Shurima,
55,Katarina,Katarina,Noxus,
10,Kayle,Kayle,Demacia,Targonian origin; usually grouped with Demacia
141,Kayn,Kayn,Ionia,
85,Kennen,Kennen,Ionia,Kinkou order
121,Khazix,Kha'Zix,The Void,
203,Kindred,Kindred,Runeterra,Spirit/entity known across all regions
240,Kled,Kled,Noxus,
96,KogMaw,Kog'Maw,The Void,
7,Leblanc,LeBlanc,Noxus,
64,LeeSin,Lee Sin,Ionia,
