dd_version,champion_key,champion_id,champion_name,champion_region,effective_region,voiceover_set,resolved_skin_name,resolved_skinline_name,skin_universe,section,quote
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,,,,Unknown,"I am not a King, I am not a God, I am ... Worse"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,,,,Champion Select,"Now, hear the silence of Annihilation"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,,,,Champion Select,Let me end this!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,,,,Trivia,Am I the abyss? Or did I gaze into it?
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,,,,Trivia,"He who fights with monsters should look to it that he himself does not become a monster. And if you gaze long into an abyss, the abyss also gazes into you."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,,,,Trivia,"Where is your head, {{ci|Malphite|rock thing}}? Where is the neck I shall sever?"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,,,,Trivia,"Yes, Shurima was meant to fall, Nasus, as were you!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,,,,Trivia,Perhaps Shurima was meant to fall.
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,,,,Trivia,"No beast so fierce, but knows some touch of pity... But I know none... and therefore am no beast."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,,,,Trivia,"Lady Anne: No beast so fierce but knows some touch of pity. / Richard: But I know none, and therefore am no beast."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,,,,Trivia,"Yes, yes. It was the end, but not for me!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,,,,Trivia,Call an Ambulance but Not for Me
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,,,,Trivia,I know what lurks in the hearts of men.
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,,,,Trivia,Who knows what evil lurks in the hearts of men? The Shadow knows...
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,,,,Trivia,Peace is the greatest lie of all.
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,,,,Trivia,"Peace is a lie, there is only passion..."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,,,,Trivia,Even those who have nothing can give their lives.
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,,,,Trivia,"Pain is temporary, victory is forever."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,,,,Trivia,"Pain is temporary, pride is forever"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,,,,Trivia,Rage against the dying of the light.
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,,,,Trivia,You either die a hero or you live long enough to see yourself become the villain
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,,,,Trivia,Violence is elegance.
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,,,,Trivia,Surpass the frailty of your form.
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,,,,Trivia,"Pain is temporary, victory is forever!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,,,,Trivia,"Die with fear in your heart, or win with blood on your hands."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,,,,Trivia,War reveals what is within us.
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,First Move,"Pantheon, I see you! Like a lamprey you attach yourself to a host! I will carve you from this mortal's form, and eviscerate you both!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,First Move,"Pantheon, I see you! Like a lamprey you attach yourself to a host! I will carve you from this mortal's form, and eviscerate you both!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,First Move,"Pantheon, I see you! Like a lamprey you attach yourself to a host! I will carve you from this mortal's form, and eviscerate you both!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,First Move,"Pantheon, I see you! Like a lamprey you attach yourself to a host! I will carve you from this mortal's form, and eviscerate you both!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,First Move,"Targon sends an aspect against me? Prepare yourself, Pantheon, I will end all that you hope to be!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,First Move,"Targon sends an aspect against me? Prepare yourself, Pantheon, I will end all that you hope to be!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,First Move,"Targon sends an aspect against me? Prepare yourself, Pantheon, I will end all that you hope to be!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,First Move,"Targon sends an aspect against me? Prepare yourself, Pantheon, I will end all that you hope to be!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,First Move,"Pantheon! I will crush your godhood, I will eviscerate your ideals, even your memory... I will trample!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,First Move,"Pantheon! I will crush your godhood, I will eviscerate your ideals, even your memory... I will trample!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,First Move,"Pantheon! I will crush your godhood, I will eviscerate your ideals, even your memory... I will trample!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,First Move,"Pantheon! I will crush your godhood, I will eviscerate your ideals, even your memory... I will trample!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,The true sound of my blade can only be heard when they loathe re-incarnation.
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,The true sound of my blade can only be heard when they loathe re-incarnation.
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,The true sound of my blade can only be heard when they loathe re-incarnation.
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,The true sound of my blade can only be heard when they loathe re-incarnation.
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,The only peace I seek... is death!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,The only peace I seek... is death!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,The only peace I seek... is death!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,The only peace I seek... is death!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,"They will call me villain... Come, let me earn their hatred, again and forever."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,"They will call me villain... Come, let me earn their hatred, again and forever."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,"They will call me villain... Come, let me earn their hatred, again and forever."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,"They will call me villain... Come, let me earn their hatred, again and forever."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,I am doom!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,I am doom!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,I am doom!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,I am doom!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,There is a darkness in my heart deeper than any shadow!
