dd_version,champion_key,champion_id,champion_name,voiceover_set,skin,section,quote,fandom_page,runeterra_region,region_notes
16.3.1,266,Aatrox,Aatrox,Classic,,Unknown,"I am not a King, I am not a God, I am ... Worse",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,,Champion Select,"Now, hear the silence of Annihilation",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,,Champion Select,Let me end this!,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,,Trivia,Am I the abyss? Or did I gaze into it?,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,,Trivia,"He who fights with monsters should look to it that he himself does not become a monster. And if you gaze long into an abyss, the abyss also gazes into you.",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,,Trivia,"Where is your head, {{ci|Malphite|rock thing}}? Where is the neck I shall sever?",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,,Trivia,"Yes, Shurima was meant to fall, Nasus, as were you!",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,,Trivia,Perhaps Shurima was meant to fall.,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,,Trivia,"No beast so fierce, but knows some touch of pity... But I know none... and therefore am no beast.",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,,Trivia,"Lady Anne: No beast so fierce but knows some touch of pity. / Richard: But I know none, and therefore am no beast.",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,,Trivia,"Yes, yes. It was the end, but not for me!",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,,Trivia,Call an Ambulance but Not for Me,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,,Trivia,I know what lurks in the hearts of men.,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,,Trivia,Who knows what evil lurks in the hearts of men? The Shadow knows...,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,,Trivia,Peace is the greatest lie of all.,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,,Trivia,"Peace is a lie, there is only passion...",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,,Trivia,Even those who have nothing can give their lives.,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,,Trivia,"Pain is temporary, victory is forever.",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,,Trivia,"Pain is temporary, pride is forever",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,,Trivia,Rage against the dying of the light.,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,,Trivia,You either die a hero or you live long enough to see yourself become the villain,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,,Trivia,Violence is elegance.,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,,Trivia,Surpass the frailty of your form.,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,,Trivia,"Pain is temporary, victory is forever!",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,,Trivia,"Die with fear in your heart, or win with blood on your hands.",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
